
Insertion Sort:
Size | Time
543 |  0.00 seconds
544 |  0.00 seconds
545 |  0.00 seconds
546 |  0.00 seconds
547 |  0.00 seconds
548 |  0.00 seconds
549 |  0.00 seconds
550 |  0.00 seconds
551 |  0.00 seconds
552 |  0.00 seconds
553 |  0.00 seconds
554 |  0.00 seconds
555 |  0.00 seconds
556 |  0.00 seconds
557 |  0.00 seconds
558 |  0.00 seconds
559 |  0.00 seconds
560 |  0.00 seconds
561 |  0.00 seconds
562 |  0.00 seconds
563 |  0.00 seconds
564 |  0.00 seconds
565 |  0.01 seconds
566 |  0.00 seconds
567 |  0.00 seconds
568 |  0.00 seconds
569 |  0.00 seconds
570 |  0.00 seconds
571 |  0.00 seconds
572 |  0.00 seconds
573 |  0.00 seconds
574 |  0.00 seconds
575 |  0.00 seconds
576 |  0.00 seconds
577 |  0.00 seconds
578 |  0.00 seconds
579 |  0.00 seconds
580 |  0.00 seconds
581 |  0.00 seconds
582 |  0.00 seconds
583 |  0.00 seconds
584 |  0.00 seconds
585 |  0.00 seconds
586 |  0.00 seconds
587 |  0.00 seconds
588 |  0.00 seconds
589 |  0.00 seconds
590 |  0.00 seconds
591 |  0.00 seconds
592 |  0.00 seconds
593 |  0.00 seconds
594 |  0.01 seconds
595 |  0.00 seconds
596 |  0.00 seconds
597 |  0.00 seconds
598 |  0.00 seconds
599 |  0.00 seconds
600 |  0.00 seconds
601 |  0.00 seconds
602 |  0.00 seconds
603 |  0.00 seconds
604 |  0.00 seconds
605 |  0.00 seconds
606 |  0.00 seconds
607 |  0.00 seconds
608 |  0.00 seconds
609 |  0.00 seconds
610 |  0.00 seconds
611 |  0.00 seconds
612 |  0.00 seconds
613 |  0.00 seconds
614 |  0.00 seconds
615 |  0.00 seconds
616 |  0.00 seconds
617 |  0.00 seconds
618 |  0.00 seconds
619 |  0.00 seconds
620 |  0.00 seconds
621 |  0.00 seconds
622 |  0.00 seconds
623 |  0.00 seconds
624 |  0.00 seconds
625 |  0.00 seconds
626 |  0.00 seconds
627 |  0.00 seconds
628 |  0.00 seconds
629 |  0.00 seconds
630 |  0.00 seconds
631 |  0.00 seconds
632 |  0.00 seconds
633 |  0.00 seconds
634 |  0.00 seconds
635 |  0.00 seconds
636 |  0.00 seconds
637 |  0.00 seconds
638 |  0.00 seconds
639 |  0.00 seconds
640 |  0.00 seconds
641 |  0.00 seconds
642 |  0.00 seconds
643 |  0.00 seconds
644 |  0.00 seconds
645 |  0.00 seconds
646 |  0.00 seconds
647 |  0.00 seconds
648 |  0.00 seconds
649 |  0.00 seconds
650 |  0.00 seconds
651 |  0.00 seconds
652 |  0.00 seconds
653 |  0.00 seconds
654 |  0.00 seconds
655 |  0.00 seconds
656 |  0.00 seconds
657 |  0.00 seconds
658 |  0.00 seconds
659 |  0.00 seconds
660 |  0.00 seconds
661 |  0.00 seconds
662 |  0.00 seconds
663 |  0.00 seconds
664 |  0.00 seconds
665 |  0.00 seconds
666 |  0.00 seconds
667 |  0.00 seconds
668 |  0.00 seconds
669 |  0.00 seconds
670 |  0.00 seconds
671 |  0.01 seconds
672 |  0.00 seconds
673 |  0.00 seconds
674 |  0.00 seconds
675 |  0.00 seconds
676 |  0.00 seconds
677 |  0.00 seconds
678 |  0.00 seconds
679 |  0.00 seconds
680 |  0.00 seconds
681 |  0.00 seconds
682 |  0.00 seconds
683 |  0.00 seconds
684 |  0.00 seconds
685 |  0.00 seconds
686 |  0.00 seconds
687 |  0.00 seconds
688 |  0.00 seconds
689 |  0.00 seconds
690 |  0.00 seconds
691 |  0.00 seconds
692 |  0.00 seconds
693 |  0.00 seconds
694 |  0.00 seconds
695 |  0.00 seconds
696 |  0.00 seconds
697 |  0.00 seconds
698 |  0.00 seconds
699 |  0.00 seconds
700 |  0.00 seconds
701 |  0.00 seconds
702 |  0.00 seconds
703 |  0.00 seconds
704 |  0.00 seconds
705 |  0.00 seconds
706 |  0.00 seconds
707 |  0.00 seconds
708 |  0.00 seconds
709 |  0.00 seconds
710 |  0.00 seconds
711 |  0.00 seconds
712 |  0.00 seconds
713 |  0.00 seconds
714 |  0.00 seconds
715 |  0.00 seconds
716 |  0.00 seconds
717 |  0.00 seconds
718 |  0.00 seconds
719 |  0.00 seconds
720 |  0.00 seconds
721 |  0.00 seconds
722 |  0.00 seconds
723 |  0.00 seconds
724 |  0.00 seconds
725 |  0.00 seconds
726 |  0.00 seconds
727 |  0.00 seconds
728 |  0.00 seconds
729 |  0.00 seconds
730 |  0.00 seconds
731 |  0.00 seconds
732 |  0.00 seconds
733 |  0.02 seconds
734 |  0.00 seconds
735 |  0.00 seconds
736 |  0.00 seconds
737 |  0.00 seconds
738 |  0.00 seconds
739 |  0.00 seconds
740 |  0.00 seconds
741 |  0.00 seconds
742 |  0.00 seconds
743 |  0.00 seconds
744 |  0.00 seconds
745 |  0.00 seconds
746 |  0.00 seconds
747 |  0.00 seconds
748 |  0.00 seconds
749 |  0.00 seconds
750 |  0.00 seconds
751 |  0.00 seconds
752 |  0.00 seconds
753 |  0.00 seconds
754 |  0.00 seconds
755 |  0.00 seconds
756 |  0.00 seconds
757 |  0.00 seconds
758 |  0.00 seconds
759 |  0.00 seconds
760 |  0.00 seconds
761 |  0.00 seconds
762 |  0.00 seconds
763 |  0.00 seconds
764 |  0.00 seconds
765 |  0.00 seconds
766 |  0.00 seconds
767 |  0.00 seconds
768 |  0.00 seconds
769 |  0.00 seconds
770 |  0.00 seconds
771 |  0.00 seconds
772 |  0.00 seconds
773 |  0.00 seconds
774 |  0.00 seconds
775 |  0.00 seconds
776 |  0.00 seconds
777 |  0.00 seconds
778 |  0.00 seconds
779 |  0.00 seconds
780 |  0.00 seconds
781 |  0.00 seconds
782 |  0.00 seconds
783 |  0.00 seconds
784 |  0.01 seconds
785 |  0.00 seconds
786 |  0.00 seconds
787 |  0.00 seconds
788 |  0.00 seconds
789 |  0.00 seconds
790 |  0.00 seconds
791 |  0.00 seconds
792 |  0.00 seconds
793 |  0.00 seconds
794 |  0.00 seconds
795 |  0.00 seconds
796 |  0.00 seconds
797 |  0.00 seconds
798 |  0.00 seconds
799 |  0.00 seconds
800 |  0.00 seconds
801 |  0.00 seconds
802 |  0.00 seconds
803 |  0.00 seconds
804 |  0.00 seconds
805 |  0.00 seconds
806 |  0.00 seconds
807 |  0.00 seconds
808 |  0.00 seconds
809 |  0.00 seconds
810 |  0.00 seconds
811 |  0.00 seconds
812 |  0.00 seconds
813 |  0.00 seconds
814 |  0.00 seconds
815 |  0.00 seconds
816 |  0.00 seconds
817 |  0.00 seconds
818 |  0.00 seconds
819 |  0.00 seconds
820 |  0.00 seconds
821 |  0.00 seconds
822 |  0.00 seconds
823 |  0.00 seconds
824 |  0.00 seconds
825 |  0.00 seconds
826 |  0.00 seconds
827 |  0.00 seconds
828 |  0.00 seconds
829 |  0.00 seconds
830 |  0.00 seconds
831 |  0.02 seconds
832 |  0.00 seconds
833 |  0.00 seconds
834 |  0.00 seconds
835 |  0.00 seconds
836 |  0.00 seconds
837 |  0.00 seconds
838 |  0.00 seconds
839 |  0.00 seconds
840 |  0.00 seconds
841 |  0.00 seconds
842 |  0.00 seconds
843 |  0.00 seconds
844 |  0.00 seconds
845 |  0.00 seconds
846 |  0.00 seconds
847 |  0.00 seconds
848 |  0.00 seconds
849 |  0.00 seconds
850 |  0.00 seconds
851 |  0.00 seconds
852 |  0.00 seconds
853 |  0.00 seconds
854 |  0.00 seconds
855 |  0.00 seconds
856 |  0.00 seconds
857 |  0.00 seconds
858 |  0.00 seconds
859 |  0.00 seconds
860 |  0.00 seconds
861 |  0.00 seconds
862 |  0.00 seconds
863 |  0.00 seconds
864 |  0.00 seconds
865 |  0.00 seconds
866 |  0.00 seconds
867 |  0.00 seconds
868 |  0.00 seconds
869 |  0.00 seconds
870 |  0.00 seconds
871 |  0.00 seconds
872 |  0.00 seconds
873 |  0.02 seconds
874 |  0.00 seconds
875 |  0.00 seconds
876 |  0.00 seconds
877 |  0.00 seconds
878 |  0.00 seconds
879 |  0.00 seconds
880 |  0.00 seconds
881 |  0.00 seconds
882 |  0.00 seconds
883 |  0.00 seconds
884 |  0.00 seconds
885 |  0.00 seconds
886 |  0.00 seconds
887 |  0.00 seconds
888 |  0.00 seconds
889 |  0.00 seconds
890 |  0.00 seconds
891 |  0.00 seconds
892 |  0.00 seconds
893 |  0.00 seconds
894 |  0.00 seconds
895 |  0.00 seconds
896 |  0.00 seconds
897 |  0.00 seconds
898 |  0.00 seconds
899 |  0.00 seconds
900 |  0.00 seconds
901 |  0.00 seconds
902 |  0.00 seconds
903 |  0.00 seconds
904 |  0.00 seconds
905 |  0.00 seconds
906 |  0.00 seconds
907 |  0.00 seconds
908 |  0.00 seconds
909 |  0.00 seconds
910 |  0.00 seconds
911 |  0.00 seconds
912 |  0.01 seconds
913 |  0.00 seconds
914 |  0.00 seconds
915 |  0.00 seconds
916 |  0.00 seconds
917 |  0.00 seconds
918 |  0.00 seconds
919 |  0.00 seconds
920 |  0.00 seconds
921 |  0.00 seconds
922 |  0.00 seconds
923 |  0.00 seconds
924 |  0.00 seconds
925 |  0.00 seconds
926 |  0.00 seconds
927 |  0.00 seconds
928 |  0.00 seconds
929 |  0.00 seconds
930 |  0.00 seconds
931 |  0.00 seconds
932 |  0.00 seconds
933 |  0.00 seconds
934 |  0.00 seconds
935 |  0.00 seconds
936 |  0.00 seconds
937 |  0.00 seconds
938 |  0.00 seconds
939 |  0.00 seconds
940 |  0.00 seconds
941 |  0.00 seconds
942 |  0.00 seconds
943 |  0.00 seconds
944 |  0.00 seconds
945 |  0.00 seconds
946 |  0.00 seconds
947 |  0.00 seconds
948 |  0.00 seconds
949 |  0.02 seconds
950 |  0.00 seconds
951 |  0.00 seconds
952 |  0.00 seconds
953 |  0.00 seconds
954 |  0.00 seconds
955 |  0.00 seconds
956 |  0.00 seconds
957 |  0.00 seconds
958 |  0.00 seconds
959 |  0.00 seconds
960 |  0.00 seconds
961 |  0.00 seconds
962 |  0.00 seconds
963 |  0.00 seconds
964 |  0.00 seconds
965 |  0.00 seconds
966 |  0.00 seconds
